id,timestamp,boot_time,time_since_boot_time,trigger,trigger_string
rtyu,1612923389.7105694,1612916572.0,6817.710569620132,37,Experimenter_Screen_Displayed
rtyu,1612923393.7856855,1612916572.0,6821.785685777664,38,Experimenter_Screen_Ended
rtyu,1612923393.785786,1612916572.0,6821.785786151886,22,Slider_Question_Presented
rtyu,1612923394.726839,1612916572.0,6822.72683930397,36,Slider_Question_Answered
rtyu,1612923394.726934,1612916572.0,6822.726934194565,22,Slider_Question_Presented
rtyu,1612923394.9708135,1612916572.0,6822.970813989639,36,Slider_Question_Answered
rtyu,1612923394.9736845,1612916572.0,6822.97368478775,1,Instructions_Displayed
rtyu,1612923396.1694276,1612916572.0,6824.169428110123,32,Page_Turn_Instructions
rtyu,1612923396.34143,1612916572.0,6824.341430187225,32,Page_Turn_Instructions
rtyu,1612923396.5074525,1612916572.0,6824.507452726364,32,Page_Turn_Instructions
rtyu,1612923396.6735263,1612916572.0,6824.673526525497,32,Page_Turn_Instructions
rtyu,1612923397.1386406,1612916572.0,6825.138640880585,33,Scanner_Start_Received
rtyu,1612923397.1387372,1612916572.0,6825.138737440109,22,Slider_Question_Presented
rtyu,1612923397.6938393,1612916572.0,6825.693839788437,36,Slider_Question_Answered
rtyu,1612923412.167122,1612916572.0,6840.167122364044,34,Reading_Section_Began
rtyu,1612923418.9161882,1612916572.0,6846.91618847847,26,Page_Turn
rtyu,1612923419.768186,1612916572.0,6847.768186330795,26,Page_Turn
rtyu,1612923420.6461542,1612916572.0,6848.6461544036865,26,Page_Turn
rtyu,1612923421.5151682,1612916572.0,6849.515168428421,26,Page_Turn
rtyu,1612923422.396581,1612916572.0,6850.396581172943,26,Page_Turn
rtyu,1612923423.2901316,1612916572.0,6851.290131807327,26,Page_Turn
rtyu,1612923424.2381313,1612916572.0,6852.238131761551,26,Page_Turn
rtyu,1612923425.0731356,1612916572.0,6853.073135852814,26,Page_Turn
rtyu,1612923425.956093,1612916572.0,6853.956093549728,26,Page_Turn
rtyu,1612923426.9190977,1612916572.0,6854.919097900391,26,Page_Turn
rtyu,1612923427.813085,1612916572.0,6855.813086032867,26,Page_Turn
rtyu,1612923428.6430442,1612916572.0,6856.643044233322,26,Page_Turn
rtyu,1612923429.5861082,1612916572.0,6857.586108446121,26,Page_Turn
rtyu,1612923430.5130265,1612916572.0,6858.513026714325,26,Page_Turn
rtyu,1612923431.3471372,1612916572.0,6859.347137451172,26,Page_Turn
rtyu,1612923432.2140434,1612916572.0,6860.2140436172485,26,Page_Turn
rtyu,1612923433.0870562,1612916572.0,6861.087056398392,26,Page_Turn
rtyu,1612923434.0119803,1612916572.0,6862.0119805336,26,Page_Turn
rtyu,1612923434.9130447,1612916572.0,6862.913044929504,26,Page_Turn
rtyu,1612923434.9131806,1612916572.0,6862.913180589676,35,Reading_Section_Ended
rtyu,1612923436.9178271,1612916572.0,6864.917827367783,22,Slider_Question_Presented
rtyu,1612923439.4923582,1612916572.0,6867.492358446121,36,Slider_Question_Answered
rtyu,1612923439.5092824,1612916572.0,6867.509282588959,29,Mult_Choice_Question_Presented
rtyu,1612923440.3113716,1612916572.0,6868.311371803284,36,Slider_Question_Answered
rtyu,1612923440.3264062,1612916572.0,6868.326406478882,29,Mult_Choice_Question_Presented
rtyu,1612923441.061278,1612916572.0,6869.061278581619,36,Slider_Question_Answered
rtyu,1612923441.0770223,1612916572.0,6869.07702255249,29,Mult_Choice_Question_Presented
rtyu,1612923441.9812748,1612916572.0,6869.9812750816345,36,Slider_Question_Answered
rtyu,1612923441.9987502,1612916572.0,6869.998750448227,29,Mult_Choice_Question_Presented
rtyu,1612923443.2063248,1612916572.0,6871.206325054169,36,Slider_Question_Answered
rtyu,1612923576.9899,1612916572.0,7004.989900350571,22,Slider_Question_Presented
rtyu,1612923579.9459,1612916572.0,7007.9459002017975,36,Slider_Question_Answered
rtyu,1612923600.2026079,1612916572.0,7028.202608346939,27,Affect_Induction_Start
