id,timestamp,event_type,time_left,block_num
XXXX,1612142480.1607244,affect,6.316844400018454,0
XXXX,1612142563.6103756,reading-hypotheses,74.87276649998967,0
XXXX,1612142566.8294432,mind_wandering,8.800074799975846,0
XXXX,1612142573.4081533,mult-choice,18.49540919996798,0
XXXX,1612142577.470663,mult-choice,20.97680629999377,0
XXXX,1612142579.1657238,mult-choice,23.338587099977303,0
XXXX,1612142581.4675643,mult-choice,22.732719699968584,0
XXXX,1612142762.73384,affect,-0.0009309999877586961,1
XXXX,1612142923.829885,affect,5.876469100010581,1
XXXX,1612142945.7854018,reading-causalclaims,135.92801109998254,1
XXXX,1612142949.1344023,mind_wandering,8.674666799954139,1
XXXX,1612142950.0684001,mult-choice,24.116970999981277,1
XXXX,1612142950.7204022,mult-choice,24.39812269998947,1
XXXX,1612142952.8584008,mult-choice,22.904325100011192,1
XXXX,1612142953.5884006,mult-choice,24.302136999962386,1
