id,timestamp,boot_time,time_since_boot_time,trigger,trigger_string
P107,1614037737.514455,1614006272.0,31465.514455080032,37,Experimenter_Screen_Displayed
P107,1614037739.416526,1614006272.0,31467.416527032852,38,Experimenter_Screen_Ended
P107,1614037739.420924,1614006272.0,31467.420923948288,1,Instructions_Displayed
P107,1614037743.8003771,1614006272.0,31471.80037713051,32,Page_Turn_Instructions
P107,1614037755.083488,1614006272.0,31483.083488941193,32,Page_Turn_Instructions
P107,1614037763.2814631,1614006272.0,31491.28146314621,32,Page_Turn_Instructions
P107,1614037768.073431,1614006272.0,31496.073431015015,32,Page_Turn_Instructions
P107,1614037793.292162,1614006272.0,31521.29216194153,33,Scanner_Start_Received
P107,1614037793.406553,1614006272.0,31521.406554222107,5,Finger_Tapping_right_80
P107,1614037808.44132,1614006272.0,31536.44132089615,10,Task_End
P107,1614037818.7653031,1614006272.0,31546.76530313492,5,Finger_Tapping_right_80
P107,1614037833.7779741,1614006272.0,31561.777974128723,10,Task_End
P107,1614037844.096711,1614006272.0,31572.096710920334,5,Finger_Tapping_right_80
P107,1614037859.112803,1614006272.0,31587.112804174423,10,Task_End
P107,1614037869.42808,1614006272.0,31597.428080797195,5,Finger_Tapping_right_80
P107,1614037884.44731,1614006272.0,31612.447309970856,10,Task_End
P107,1614037894.760106,1614006272.0,31622.76010608673,5,Finger_Tapping_right_80
P107,1614037909.78217,1614006272.0,31637.782170057297,10,Task_End
P107,1614037920.10697,1614006272.0,31648.10697078705,5,Finger_Tapping_right_80
P107,1614037935.132129,1614006272.0,31663.132128953934,10,Task_End
P107,1614037945.35936,1614006272.0,31673.35935997963,37,Experimenter_Screen_Displayed
P107,1614037949.414154,1614006272.0,31677.41415500641,38,Experimenter_Screen_Ended
P107,1614037949.417571,1614006272.0,31677.41757106781,1,Instructions_Displayed
P107,1614037953.3270788,1614006272.0,31681.327080011368,32,Page_Turn_Instructions
P107,1614037956.9889972,1614006272.0,31684.988997220993,32,Page_Turn_Instructions
P107,1614037961.750165,1614006272.0,31689.750164985657,32,Page_Turn_Instructions
P107,1614037963.647033,1614006272.0,31691.647034168243,32,Page_Turn_Instructions
P107,1614037980.211711,1614006272.0,31708.211711883545,33,Scanner_Start_Received
P107,1614037980.2119439,1614006272.0,31708.211945056915,16,Stroop_Block_Start
P107,1614037980.271242,1614006272.0,31708.271241903305,18,Stroop_Stim_Displayed_Congruent
P107,1614037981.280989,1614006272.0,31709.28098988533,20,Stroop_Stim_Response_Correct
P107,1614037983.29689,1614006272.0,31711.29690504074,19,Stroop_Stim_Displayed_Incongruent
P107,1614037984.114314,1614006272.0,31712.114314079285,20,Stroop_Stim_Response_Correct
P107,1614037986.13048,1614006272.0,31714.130481004715,19,Stroop_Stim_Displayed_Incongruent
P107,1614037986.7306502,1614006272.0,31714.730650901794,20,Stroop_Stim_Response_Correct
P107,1614037988.746502,1614006272.0,31716.746501922607,19,Stroop_Stim_Displayed_Incongruent
P107,1614037989.447225,1614006272.0,31717.447241067886,20,Stroop_Stim_Response_Correct
P107,1614037991.463403,1614006272.0,31719.4634039402,19,Stroop_Stim_Displayed_Incongruent
P107,1614037991.997503,1614006272.0,31719.99750304222,20,Stroop_Stim_Response_Correct
P107,1614037994.013275,1614006272.0,31722.01327586174,19,Stroop_Stim_Displayed_Incongruent
P107,1614037994.580022,1614006272.0,31722.58002305031,20,Stroop_Stim_Response_Correct
P107,1614037996.595964,1614006272.0,31724.595963954926,19,Stroop_Stim_Displayed_Incongruent
P107,1614037997.263533,1614006272.0,31725.26353406906,20,Stroop_Stim_Response_Correct
P107,1614037999.2792041,1614006272.0,31727.279205083847,19,Stroop_Stim_Displayed_Incongruent
P107,1614038000.1299279,1614006272.0,31728.12992787361,20,Stroop_Stim_Response_Correct
P107,1614038002.145625,1614006272.0,31730.145626068115,19,Stroop_Stim_Displayed_Incongruent
P107,1614038002.6467981,1614006272.0,31730.646799087524,20,Stroop_Stim_Response_Correct
P107,1614038004.6624472,1614006272.0,31732.662447214127,19,Stroop_Stim_Displayed_Incongruent
P107,1614038005.21364,1614006272.0,31733.21364092827,20,Stroop_Stim_Response_Correct
P107,1614038007.228558,1614006272.0,31735.22855901718,18,Stroop_Stim_Displayed_Congruent
P107,1614038008.062625,1614006272.0,31736.062624931335,20,Stroop_Stim_Response_Correct
P107,1614038010.078738,1614006272.0,31738.07873892784,18,Stroop_Stim_Displayed_Congruent
P107,1614038012.294854,1614006272.0,31740.294853925705,17,Stroop_Block_End
P107,1614038027.3067572,1614006272.0,31755.30675792694,16,Stroop_Block_Start
P107,1614038027.356692,1614006272.0,31755.356693029404,19,Stroop_Stim_Displayed_Incongruent
P107,1614038028.3447099,1614006272.0,31756.344710826874,20,Stroop_Stim_Response_Correct
P107,1614038030.3607402,1614006272.0,31758.360740184784,19,Stroop_Stim_Displayed_Incongruent
P107,1614038031.211549,1614006272.0,31759.21154999733,20,Stroop_Stim_Response_Correct
P107,1614038033.227221,1614006272.0,31761.227221012115,19,Stroop_Stim_Displayed_Incongruent
P107,1614038033.9441159,1614006272.0,31761.94411587715,20,Stroop_Stim_Response_Correct
P107,1614038035.9598951,1614006272.0,31763.959909915924,18,Stroop_Stim_Displayed_Congruent
P107,1614038036.460628,1614006272.0,31764.46062898636,20,Stroop_Stim_Response_Correct
P107,1614038038.4764218,1614006272.0,31766.47642302513,19,Stroop_Stim_Displayed_Incongruent
P107,1614038039.327261,1614006272.0,31767.327261924744,20,Stroop_Stim_Response_Correct
