subject_id,timestamp,block_num,hand_condition,bpm,event
F105,1613591057.1793401,0,right,80,start
F105,1613591057.856577,0,right,80,tap_prompted
F105,1613591057.956949,0,right,80,tap_missed
F105,1613591058.589612,0,right,80,tap_prompted
F105,1613591058.68986,0,right,80,tap_missed
F105,1613591059.3400278,0,right,80,tap_prompted
F105,1613591059.440324,0,right,80,tap_missed
F105,1613591060.08945,0,right,80,tap_prompted
F105,1613591060.189764,0,right,80,tap_missed
F105,1613591060.8394508,0,right,80,tap_prompted
F105,1613591060.93967,0,right,80,tap_missed
F105,1613591061.59023,0,right,80,tap_prompted
F105,1613591061.677873,0,right,80,tap_registered
F105,1613591062.3398101,0,right,80,tap_prompted
F105,1613591062.440038,0,right,80,tap_missed
F105,1613591063.0898812,0,right,80,tap_prompted
F105,1613591063.190204,0,right,80,tap_missed
F105,1613591063.839318,0,right,80,tap_prompted
F105,1613591063.939573,0,right,80,tap_missed
F105,1613591064.589833,0,right,80,tap_prompted
F105,1613591064.690038,0,right,80,tap_missed
F105,1613591065.339561,0,right,80,tap_prompted
F105,1613591065.439826,0,right,80,tap_missed
F105,1613591066.0896661,0,right,80,tap_prompted
F105,1613591066.189949,0,right,80,tap_missed
F105,1613591066.839799,0,right,80,tap_prompted
F105,1613591066.935773,0,right,80,tap_registered
F105,1613591067.5899131,0,right,80,tap_prompted
F105,1613591067.6901581,0,right,80,tap_missed
F105,1613591068.340309,0,right,80,tap_prompted
F105,1613591068.4405591,0,right,80,tap_missed
F105,1613591069.089638,0,right,80,tap_prompted
F105,1613591069.1899679,0,right,80,tap_missed
F105,1613591069.839471,0,right,80,tap_prompted
F105,1613591069.939672,0,right,80,tap_missed
F105,1613591070.5895581,0,right,80,tap_prompted
F105,1613591070.6277912,0,right,80,tap_registered
F105,1613591071.339126,0,right,80,tap_prompted
F105,1613591071.43934,0,right,80,tap_missed
F105,1613591072.089057,0,right,80,tap_prompted
F105,1613591072.1828952,0,right,80,tap_registered
F105,1613591072.200607,0,right,80,end
F105,1613591082.513644,1,right,80,start
F105,1613591083.1724029,1,right,80,tap_prompted
F105,1613591083.272691,1,right,80,tap_missed
F105,1613591083.9268448,1,right,80,tap_prompted
F105,1613591084.027104,1,right,80,tap_missed
F105,1613591084.676013,1,right,80,tap_prompted
F105,1613591084.7763479,1,right,80,tap_missed
F105,1613591085.421938,1,right,80,tap_prompted
F105,1613591085.52218,1,right,80,tap_missed
F105,1613591086.177282,1,right,80,tap_prompted
F105,1613591086.2775118,1,right,80,tap_missed
F105,1613591086.921636,1,right,80,tap_prompted
F105,1613591086.99264,1,right,80,tap_registered
F105,1613591087.6713018,1,right,80,tap_prompted
F105,1613591087.77156,1,right,80,tap_missed
F105,1613591088.429812,1,right,80,tap_prompted
F105,1613591088.526082,1,right,80,tap_registered
F105,1613591089.1711411,1,right,80,tap_prompted
F105,1613591089.271342,1,right,80,tap_missed
F105,1613591089.9206588,1,right,80,tap_prompted
F105,1613591090.020858,1,right,80,tap_missed
F105,1613591090.680704,1,right,80,tap_prompted
F105,1613591090.7768278,1,right,80,tap_registered
F105,1613591091.4213738,1,right,80,tap_prompted
F105,1613591091.4769,1,right,80,tap_registered
F105,1613591092.170339,1,right,80,tap_prompted
F105,1613591092.2560031,1,right,80,tap_registered
F105,1613591092.921161,1,right,80,tap_prompted
F105,1613591093.0208828,1,right,80,tap_registered
F105,1613591093.671734,1,right,80,tap_prompted
F105,1613591093.7719538,1,right,80,tap_missed
F105,1613591094.433831,1,right,80,tap_prompted
F105,1613591094.505704,1,right,80,tap_registered
F105,1613591095.187284,1,right,80,tap_prompted
F105,1613591095.28751,1,right,80,tap_missed
F105,1613591095.937498,1,right,80,tap_prompted
F105,1613591096.037728,1,right,80,tap_missed
F105,1613591096.684848,1,right,80,tap_prompted
F105,1613591096.7851222,1,right,80,tap_missed
F105,1613591097.420237,1,right,80,tap_prompted
F105,1613591097.5205052,1,right,80,tap_missed
F105,1613591097.534831,1,right,80,end
F105,1613591107.859756,2,right,80,start
F105,1613591108.520106,2,right,80,tap_prompted
