wort,valenzmw,arousalmw,concretenessmw,frequency,imageability,condition
Schal,5.203125,2.507937,1.634921,13,6,1
Sieb,5.203125,2.032258,1.645161,15,5.41,0
Besteck,4.859375,2.080645,1.661290,15,6,1
Korb,5.265625,2.333333,1.661290,12,5.64,0
Hemd,5.125000,2.587302,1.661290,12,6.18,1
Eiche,5.187500,2.428571,1.666667,13,6,0
