id,timestamp,event_type,time_left,block_num
f110-2,1614290762.021358,affect,5.335343394002848,0
f110-2,1614290919.450851,reading-validity,-0.0845869059994584,0
f110-2,1614290928.2503622,mind_wandering,3.2185648230006336,0
f110-2,1614290950.295458,mult-choice,-0.0004891360003966838,0
f110-2,1614290963.601599,mult-choice,8.718567301999428,0
f110-2,1614290980.40365,mult-choice,5.224355252998066,0
f110-2,1614290990.616645,affect,4.9487327720016765,1
f110-2,1614291157.7162712,affect,4.894135214999551,1
f110-2,1614291271.0898602,reading-variables,43.53775281399794,1
f110-2,1614291276.154016,mind_wandering,6.965756823999982,1
f110-2,1614291292.637912,mult-choice,5.556270046999998,1
f110-2,1614291310.715103,mult-choice,3.9548968769995554,1
f110-2,1614291321.178026,mult-choice,11.56133557299836,1
