subject_id,timestamp,block_num,hand_condition,bpm,event
4444,1612213804.5790021,0,right,80,start
4444,1612213805.234981,0,right,80,tap_prompted
4444,1612213805.334968,0,right,80,tap_missed
4444,1612213805.983972,0,right,80,tap_prompted
4444,1612213806.0689833,0,right,80,tap_registered
4444,1612213806.7340317,0,right,80,tap_prompted
4444,1612213806.83397,0,right,80,tap_missed
4444,1612213807.4829886,0,right,80,tap_prompted
4444,1612213807.5249717,0,right,80,tap_registered
4444,1612213808.234034,0,right,80,tap_prompted
4444,1612213808.284974,0,right,80,tap_registered
4444,1612213808.987985,0,right,80,tap_prompted
4444,1612213809.029974,0,right,80,tap_registered
4444,1612213809.7359912,0,right,80,tap_prompted
4444,1612213809.8288686,0,right,80,tap_registered
4444,1612213810.484872,0,right,80,tap_prompted
4444,1612213810.584874,0,right,80,tap_missed
4444,1612213811.2348754,0,right,80,tap_prompted
4444,1612213811.334872,0,right,80,tap_missed
4444,1612213811.9920707,0,right,80,tap_prompted
4444,1612213812.0926757,0,right,80,tap_missed
4444,1612213812.7336502,0,right,80,tap_prompted
4444,1612213812.834207,0,right,80,tap_missed
4444,1612213813.4823625,0,right,80,tap_prompted
4444,1612213813.5831132,0,right,80,tap_missed
4444,1612213814.2341166,0,right,80,tap_prompted
4444,1612213814.3340569,0,right,80,tap_missed
4444,1612213814.9830632,0,right,80,tap_prompted
4444,1612213815.0830579,0,right,80,tap_missed
4444,1612213815.7348204,0,right,80,tap_prompted
4444,1612213815.8353195,0,right,80,tap_missed
4444,1612213816.4828532,0,right,80,tap_prompted
4444,1612213816.5838354,0,right,80,tap_missed
4444,1612213817.2331257,0,right,80,tap_prompted
4444,1612213817.3340533,0,right,80,tap_missed
4444,1612213817.9840562,0,right,80,tap_prompted
4444,1612213818.0840526,0,right,80,tap_missed
4444,1612213818.734075,0,right,80,tap_prompted
4444,1612213818.8340874,0,right,80,tap_missed
4444,1612213819.4830587,0,right,80,tap_prompted
4444,1612213819.5830884,0,right,80,tap_missed
4444,1612213819.5880594,0,right,80,end
4444,1612213829.8994954,1,right,80,start
4444,1612213830.5535305,1,right,80,tap_prompted
4444,1612213830.6544635,1,right,80,tap_missed
4444,1612213831.3034978,1,right,80,tap_prompted
4444,1612213831.4035606,1,right,80,tap_missed
4444,1612213832.0540895,1,right,80,tap_prompted
4444,1612213832.1551487,1,right,80,tap_missed
4444,1612213832.804907,1,right,80,tap_prompted
4444,1612213832.9049072,1,right,80,tap_missed
4444,1612213833.5528593,1,right,80,tap_prompted
4444,1612213833.6538572,1,right,80,tap_missed
4444,1612213834.3028433,1,right,80,tap_prompted
4444,1612213834.403352,1,right,80,tap_missed
4444,1612213835.056012,1,right,80,tap_prompted
4444,1612213835.156038,1,right,80,tap_missed
4444,1612213835.8032925,1,right,80,tap_prompted
4444,1612213835.9042199,1,right,80,tap_missed
4444,1612213836.5530567,1,right,80,tap_prompted
4444,1612213836.6530812,1,right,80,tap_missed
4444,1612213837.304069,1,right,80,tap_prompted
4444,1612213837.4050634,1,right,80,tap_missed
4444,1612213838.055079,1,right,80,tap_prompted
4444,1612213838.1550639,1,right,80,tap_missed
4444,1612213838.8030756,1,right,80,tap_prompted
4444,1612213838.904098,1,right,80,tap_missed
4444,1612213839.553904,1,right,80,tap_prompted
4444,1612213839.655182,1,right,80,tap_missed
4444,1612213840.3033903,1,right,80,tap_prompted
4444,1612213840.4038875,1,right,80,tap_missed
4444,1612213841.0536592,1,right,80,tap_prompted
4444,1612213841.1546187,1,right,80,tap_missed
4444,1612213841.8038468,1,right,80,tap_prompted
4444,1612213841.903895,1,right,80,tap_missed
4444,1612213842.5538745,1,right,80,tap_prompted
4444,1612213842.6548643,1,right,80,tap_missed
4444,1612213843.3038678,1,right,80,tap_prompted
4444,1612213843.403888,1,right,80,tap_missed
4444,1612213844.053871,1,right,80,tap_prompted
4444,1612213844.1548967,1,right,80,tap_missed
4444,1612213844.8034885,1,right,80,tap_prompted
4444,1612213844.9034696,1,right,80,tap_missed
4444,1612213844.9084535,1,right,80,end
4444,1612213855.2198932,2,right,80,start
4444,1612213855.8741405,2,right,80,tap_prompted
4444,1612213855.9750981,2,right,80,tap_missed
4444,1612213856.623147,2,right,80,tap_prompted
4444,1612213856.7240715,2,right,80,tap_missed
4444,1612213857.3751876,2,right,80,tap_prompted
4444,1612213857.4751735,2,right,80,tap_missed
4444,1612213858.124367,2,right,80,tap_prompted
4444,1612213858.2253437,2,right,80,tap_missed
4444,1612213858.873386,2,right,80,tap_prompted
4444,1612213858.9733422,2,right,80,tap_missed
4444,1612213859.6234248,2,right,80,tap_prompted
4444,1612213859.7243779,2,right,80,tap_missed
4444,1612213860.3763928,2,right,80,tap_prompted
4444,1612213860.4773512,2,right,80,tap_missed
4444,1612213861.1239283,2,right,80,tap_prompted
4444,1612213861.224875,2,right,80,tap_missed
4444,1612213861.8729043,2,right,80,tap_prompted
4444,1612213861.9738698,2,right,80,tap_missed
4444,1612213862.6229053,2,right,80,tap_prompted
4444,1612213862.7238746,2,right,80,tap_missed
4444,1612213863.373902,2,right,80,tap_prompted
4444,1612213863.4738638,2,right,80,tap_missed
4444,1612213864.1238484,2,right,80,tap_prompted
4444,1612213864.2248778,2,right,80,tap_missed
4444,1612213864.872899,2,right,80,tap_prompted
4444,1612213864.9738727,2,right,80,tap_missed
4444,1612213865.6229074,2,right,80,tap_prompted
4444,1612213865.723879,2,right,80,tap_missed
4444,1612213866.372927,2,right,80,tap_prompted
4444,1612213866.4738483,2,right,80,tap_missed
4444,1612213867.123896,2,right,80,tap_prompted
4444,1612213867.2248917,2,right,80,tap_missed
4444,1612213867.8728573,2,right,80,tap_prompted
4444,1612213867.9737527,2,right,80,tap_missed
4444,1612213868.6237404,2,right,80,tap_prompted
4444,1612213868.7247243,2,right,80,tap_missed
4444,1612213869.3737717,2,right,80,tap_prompted
4444,1612213869.4737678,2,right,80,tap_missed
4444,1612213870.1238155,2,right,80,tap_prompted
4444,1612213870.2248049,2,right,80,tap_missed
4444,1612213870.2297773,2,right,80,end
4444,1612213880.54014,3,right,80,start
4444,1612213881.1941707,3,right,80,tap_prompted
4444,1612213881.295103,3,right,80,tap_missed
4444,1612213881.9434264,3,right,80,tap_prompted
4444,1612213882.0439262,3,right,80,tap_missed
4444,1612213882.6933799,3,right,80,tap_prompted
4444,1612213882.7943509,3,right,80,tap_missed
4444,1612213883.4443371,3,right,80,tap_prompted
4444,1612213883.544349,3,right,80,tap_missed
4444,1612213884.1933887,3,right,80,tap_prompted
