subject_id,timestamp,block_num,hand_condition,bpm,event
trev,1611961219.6526875,0,right,80,start
trev,1611961220.3109527,0,right,80,tap_prompted
trev,1611961220.4110265,0,right,80,tap_missed
trev,1611961221.0609639,0,right,80,tap_prompted
trev,1611961221.1610196,0,right,80,tap_missed
trev,1611961221.8109634,0,right,80,tap_prompted
trev,1611961221.9110262,0,right,80,tap_missed
trev,1611961222.5609672,0,right,80,tap_prompted
trev,1611961222.661039,0,right,80,tap_missed
trev,1611961223.3109455,0,right,80,tap_prompted
trev,1611961223.4110122,0,right,80,tap_missed
trev,1611961224.0609655,0,right,80,tap_prompted
trev,1611961224.1610262,0,right,80,tap_missed
trev,1611961224.811003,0,right,80,tap_prompted
trev,1611961224.9110687,0,right,80,tap_missed
trev,1611961225.5610123,0,right,80,tap_prompted
trev,1611961225.6610887,0,right,80,tap_missed
trev,1611961226.3110077,0,right,80,tap_prompted
trev,1611961226.4110625,0,right,80,tap_missed
trev,1611961227.0609932,0,right,80,tap_prompted
trev,1611961227.1610587,0,right,80,tap_missed
trev,1611961227.8110006,0,right,80,tap_prompted
trev,1611961227.9110682,0,right,80,tap_missed
trev,1611961228.5609996,0,right,80,tap_prompted
trev,1611961228.6610749,0,right,80,tap_missed
trev,1611961229.3109999,0,right,80,tap_prompted
trev,1611961229.4110632,0,right,80,tap_missed
trev,1611961230.0610116,0,right,80,tap_prompted
trev,1611961230.1610785,0,right,80,tap_missed
trev,1611961230.8110068,0,right,80,tap_prompted
trev,1611961230.9110737,0,right,80,tap_missed
trev,1611961231.5610116,0,right,80,tap_prompted
trev,1611961231.6610713,0,right,80,tap_missed
trev,1611961232.3110206,0,right,80,tap_prompted
trev,1611961232.411073,0,right,80,tap_missed
trev,1611961233.061021,0,right,80,tap_prompted
trev,1611961233.1610804,0,right,80,tap_missed
trev,1611961233.8110275,0,right,80,tap_prompted
trev,1611961233.9110956,0,right,80,tap_missed
trev,1611961234.5610318,0,right,80,tap_prompted
trev,1611961234.6610875,0,right,80,tap_missed
trev,1611961234.6777313,0,right,80,end
trev,1611961245.0094738,1,right,80,start
trev,1611961245.6610987,1,right,80,tap_prompted
trev,1611961245.7611701,1,right,80,tap_missed
trev,1611961246.4111,1,right,80,tap_prompted
trev,1611961246.5111551,1,right,80,tap_missed
trev,1611961247.1610987,1,right,80,tap_prompted
trev,1611961247.2484126,1,right,80,tap_registered
trev,1611961247.9111097,1,right,80,tap_prompted
trev,1611961248.0111825,1,right,80,tap_missed
trev,1611961248.661118,1,right,80,tap_prompted
trev,1611961248.7611833,1,right,80,tap_missed
trev,1611961249.411105,1,right,80,tap_prompted
trev,1611961249.511152,1,right,80,tap_missed
trev,1611961250.1611094,1,right,80,tap_prompted
trev,1611961250.2611706,1,right,80,tap_missed
trev,1611961250.9111197,1,right,80,tap_prompted
trev,1611961251.0111759,1,right,80,tap_missed
