subject_id,timestamp,block_num,hand_condition,bpm,event
4321,1610926298.404654,0,right,120,start
4321,1610926298.4380136,0,right,120,tap_prompted
4321,1610926298.68809,0,right,120,tap_missed
4321,1610926298.9379234,0,right,120,tap_prompted
4321,1610926299.1880252,0,right,120,tap_missed
4321,1610926299.4379222,0,right,120,tap_prompted
4321,1610926299.6880214,0,right,120,tap_missed
4321,1610926299.9379516,0,right,120,tap_prompted
4321,1610926300.1880577,0,right,120,tap_missed
4321,1610926300.4379365,0,right,120,tap_prompted
4321,1610926300.533523,0,right,120,tap_registered
4321,1610926300.938038,0,right,120,tap_prompted
4321,1610926300.9785028,0,right,120,tap_registered
4321,1610926301.4379654,0,right,120,tap_prompted
4321,1610926301.4464962,0,right,120,tap_registered
4321,1610926301.937951,0,right,120,tap_prompted
4321,1610926302.1880522,0,right,120,tap_missed
4321,1610926302.4380174,0,right,120,tap_prompted
4321,1610926302.68812,0,right,120,tap_missed
4321,1610926302.9379807,0,right,120,tap_prompted
4321,1610926303.1880853,0,right,120,tap_missed
4321,1610926303.4379556,0,right,120,tap_prompted
4321,1610926303.6880522,0,right,120,tap_missed
4321,1610926303.9379802,0,right,120,tap_prompted
4321,1610926304.1880832,0,right,120,tap_missed
4321,1610926304.437953,0,right,120,tap_prompted
4321,1610926304.4674876,0,right,120,tap_registered
4321,1610926304.938047,0,right,120,tap_prompted
4321,1610926304.9484472,0,right,120,tap_registered
4321,1610926305.4379892,0,right,120,tap_prompted
4321,1610926305.448448,0,right,120,tap_registered
4321,1610926305.9380004,0,right,120,tap_prompted
4321,1610926306.1881027,0,right,120,tap_missed
4321,1610926306.4385884,0,right,120,tap_prompted
4321,1610926306.6886907,0,right,120,tap_missed
4321,1610926306.938059,0,right,120,tap_prompted
4321,1610926307.1881635,0,right,120,tap_missed
4321,1610926307.4387236,0,right,120,tap_prompted
4321,1610926307.6888592,0,right,120,tap_missed
4321,1610926307.9380057,0,right,120,tap_prompted
4321,1610926308.1881142,0,right,120,tap_missed
4321,1610926308.4384418,0,right,120,tap_prompted
4321,1610926308.6885467,0,right,120,tap_missed
4321,1610926308.9379678,0,right,120,tap_prompted
4321,1610926309.1880805,0,right,120,tap_missed
4321,1610926309.4379823,0,right,120,tap_prompted
4321,1610926309.688082,0,right,120,tap_missed
4321,1610926309.9383485,0,right,120,tap_prompted
4321,1610926310.173473,0,right,120,tap_registered
4321,1610926310.438015,0,right,120,tap_prompted
4321,1610926310.6504917,0,right,120,tap_registered
4321,1610926310.93803,0,right,120,tap_prompted
4321,1610926311.130583,0,right,120,tap_registered
4321,1610926311.4380229,0,right,120,tap_prompted
4321,1610926311.61458,0,right,120,tap_registered
4321,1610926311.9380536,0,right,120,tap_prompted
4321,1610926312.1105306,0,right,120,tap_registered
4321,1610926312.4380517,0,right,120,tap_prompted
4321,1610926312.6155856,0,right,120,tap_registered
4321,1610926312.9380717,0,right,120,tap_prompted
4321,1610926313.0914993,0,right,120,tap_registered
4321,1610926313.4381633,0,right,120,tap_prompted
4321,1610926313.535524,0,right,120,tap_registered
4321,1610926313.7048566,0,right,120,end
4321,1610926329.0716786,1,right,80,start
4321,1610926329.7049127,1,right,80,tap_prompted
4321,1610926329.9550083,1,right,80,tap_missed
4321,1610926330.4549174,1,right,80,tap_prompted
4321,1610926330.705022,1,right,80,tap_missed
4321,1610926331.2049067,1,right,80,tap_prompted
4321,1610926331.293311,1,right,80,tap_registered
4321,1610926331.9550323,1,right,80,tap_prompted
4321,1610926332.2052279,1,right,80,tap_missed
4321,1610926332.7049267,1,right,80,tap_prompted
4321,1610926332.955038,1,right,80,tap_missed
4321,1610926333.4553773,1,right,80,tap_prompted
4321,1610926333.7054858,1,right,80,tap_missed
4321,1610926334.2049508,1,right,80,tap_prompted
4321,1610926334.4550886,1,right,80,tap_missed
4321,1610926334.9549341,1,right,80,tap_prompted
4321,1610926335.2050402,1,right,80,tap_missed
4321,1610926335.7056513,1,right,80,tap_prompted
4321,1610926335.955754,1,right,80,tap_missed
4321,1610926336.4549696,1,right,80,tap_prompted
4321,1610926336.5433939,1,right,80,tap_registered
4321,1610926337.2050197,1,right,80,tap_prompted
4321,1610926337.455115,1,right,80,tap_missed
4321,1610926337.9550061,1,right,80,tap_prompted
4321,1610926337.9923623,1,right,80,tap_registered
4321,1610926338.7049751,1,right,80,tap_prompted
4321,1610926338.752321,1,right,80,tap_registered
4321,1610926339.4550002,1,right,80,tap_prompted
4321,1610926339.5603442,1,right,80,tap_registered
4321,1610926340.205003,1,right,80,tap_prompted
4321,1610926340.3443537,1,right,80,tap_registered
