subject_id,timestamp,block_num,hand_condition,bpm,event
XXXX,1612141878.198403,0,right,80,start
XXXX,1612141878.8539624,0,right,80,tap_prompted
XXXX,1612141878.9545755,0,right,80,tap_missed
XXXX,1612141879.60261,0,right,80,tap_prompted
XXXX,1612141879.7035697,0,right,80,tap_missed
XXXX,1612141880.3535585,0,right,80,tap_prompted
XXXX,1612141880.4535751,0,right,80,tap_missed
XXXX,1612141881.1025689,0,right,80,tap_prompted
XXXX,1612141881.202552,0,right,80,tap_missed
XXXX,1612141881.8550966,0,right,80,tap_prompted
XXXX,1612141881.9562263,0,right,80,tap_missed
XXXX,1612141882.6048791,0,right,80,tap_prompted
XXXX,1612141882.7047813,0,right,80,tap_missed
XXXX,1612141883.3528202,0,right,80,tap_prompted
XXXX,1612141883.4528139,0,right,80,tap_missed
XXXX,1612141884.1028254,0,right,80,tap_prompted
XXXX,1612141884.202815,0,right,80,tap_missed
XXXX,1612141884.8537862,0,right,80,tap_prompted
XXXX,1612141884.9308012,0,right,80,tap_registered
XXXX,1612141885.6028063,0,right,80,tap_prompted
XXXX,1612141885.7027822,0,right,80,tap_missed
XXXX,1612141886.3528073,0,right,80,tap_prompted
XXXX,1612141886.4538147,0,right,80,tap_missed
XXXX,1612141887.1038387,0,right,80,tap_prompted
XXXX,1612141887.2048144,0,right,80,tap_missed
XXXX,1612141887.8548393,0,right,80,tap_prompted
XXXX,1612141887.9548163,0,right,80,tap_missed
XXXX,1612141888.6034667,0,right,80,tap_prompted
XXXX,1612141888.7034328,0,right,80,tap_missed
XXXX,1612141889.3525412,0,right,80,tap_prompted
XXXX,1612141889.4525087,0,right,80,tap_missed
XXXX,1612141890.101527,0,right,80,tap_prompted
XXXX,1612141890.1245093,0,right,80,tap_registered
XXXX,1612141890.8555255,0,right,80,tap_prompted
XXXX,1612141890.9565449,0,right,80,tap_missed
XXXX,1612141891.6025593,0,right,80,tap_prompted
XXXX,1612141891.6825116,0,right,80,tap_registered
XXXX,1612141892.3525727,0,right,80,tap_prompted
XXXX,1612141892.4525445,0,right,80,tap_missed
XXXX,1612141893.1015787,0,right,80,tap_prompted
XXXX,1612141893.2025445,0,right,80,tap_missed
XXXX,1612141893.206561,0,right,80,end
XXXX,1612141903.5198052,1,right,80,start
XXXX,1612141904.1746268,1,right,80,tap_prompted
XXXX,1612141904.2749887,1,right,80,tap_missed
XXXX,1612141904.9245727,1,right,80,tap_prompted
XXXX,1612141905.024597,1,right,80,tap_missed
XXXX,1612141905.6746202,1,right,80,tap_prompted
XXXX,1612141905.7745945,1,right,80,tap_missed
XXXX,1612141906.4226224,1,right,80,tap_prompted
XXXX,1612141906.523603,1,right,80,tap_missed
XXXX,1612141907.1727114,1,right,80,tap_prompted
XXXX,1612141907.2738123,1,right,80,tap_missed
XXXX,1612141907.9235723,1,right,80,tap_prompted
XXXX,1612141908.0244157,1,right,80,tap_missed
XXXX,1612141908.6758482,1,right,80,tap_prompted
XXXX,1612141908.7768533,1,right,80,tap_missed
XXXX,1612141909.4226096,1,right,80,tap_prompted
XXXX,1612141909.5235677,1,right,80,tap_missed
XXXX,1612141910.1726513,1,right,80,tap_prompted
XXXX,1612141910.2735715,1,right,80,tap_missed
XXXX,1612141910.9347053,1,right,80,tap_prompted
XXXX,1612141910.9507067,1,right,80,tap_registered
XXXX,1612141911.672757,1,right,80,tap_prompted
XXXX,1612141911.7737262,1,right,80,tap_missed
XXXX,1612141912.4227543,1,right,80,tap_prompted
XXXX,1612141912.5237257,1,right,80,tap_missed
XXXX,1612141913.1727734,1,right,80,tap_prompted
XXXX,1612141913.2737267,1,right,80,tap_missed
XXXX,1612141913.9227602,1,right,80,tap_prompted
XXXX,1612141913.985694,1,right,80,tap_registered
XXXX,1612141914.673714,1,right,80,tap_prompted
XXXX,1612141914.7736943,1,right,80,tap_missed
XXXX,1612141915.424799,1,right,80,tap_prompted
XXXX,1612141915.524868,1,right,80,tap_missed
XXXX,1612141916.1731274,1,right,80,tap_prompted
XXXX,1612141916.2738633,1,right,80,tap_missed
XXXX,1612141916.923136,1,right,80,tap_prompted
XXXX,1612141917.0178623,1,right,80,tap_registered
XXXX,1612141917.6735964,1,right,80,tap_prompted
XXXX,1612141917.7735903,1,right,80,tap_missed
XXXX,1612141918.4233956,1,right,80,tap_prompted
