id,timestamp,event_type,time_left,block_num
P107,1614038442.201909,affect,7.834617036998679,0
P107,1614038548.673933,reading-causalclaims,53.381619785999646,0
P107,1614038556.021299,mind_wandering,4.670752922000247,0
P107,1614038565.75632,mult-choice,12.300983744000405,0
P107,1614038574.557472,mult-choice,13.22517936100121,0
P107,1614038586.848395,mult-choice,9.733714396003052,0
P107,1614038650.5858712,affect,6.349550205999549,1
P107,1614038819.6265988,affect,4.368993279000279,1
P107,1614038938.79021,reading-hypotheses,37.22425685000053,1
P107,1614038944.037614,mind_wandering,6.774428413998976,1
P107,1614038950.260651,mult-choice,15.807178404000297,1
P107,1614038959.1617122,mult-choice,13.124521830999583,1
P107,1614038968.8804328,mult-choice,12.306952735998493,1
