subject_id,timestamp,block_num,trial_num,display_text,display_color,trial_type,response_accuracy,response_time
F103,1613429833.4955761,0,0,blue,blue,congruent,correct,813.490461998299
F103,1613429836.695584,0,1,yellow,yellow,congruent,correct,1184.6213259996148
F103,1613429839.428131,0,2,red,red,congruent,correct,717.3737180019089
F103,1613429842.044346,0,3,blue,blue,congruent,correct,600.520410000172
F103,1613429844.9607239,0,4,blue,blue,congruent,correct,899.9287499973434
F103,1613429847.968707,0,5,yellow,yellow,congruent,correct,984.4481660002202
F103,1613429850.727068,0,6,red,red,congruent,correct,750.3401530011615
F103,1613429853.6938329,0,7,yellow,yellow,congruent,correct,950.6777330025216
F103,1613429856.643693,0,8,yellow,yellow,congruent,correct,933.6349349978263
F103,1613429859.3599281,0,9,red,red,congruent,correct,700.431342000229
F103,1613429861.909806,0,10,red,red,congruent,correct,534.036876000755
F103,1613429879.992516,1,0,blue,blue,congruent,correct,1001.7452669999329
F103,1613429882.909112,1,1,red,red,congruent,correct,900.8311230027175
F103,1613429885.808046,1,2,blue,blue,congruent,correct,883.4324909985298
F103,1613429888.624842,1,3,red,red,congruent,correct,801.0719129997597
F103,1613429891.4917629,1,4,blue,blue,congruent,correct,851.8645539988938
F103,1613429894.3749251,1,5,yellow,yellow,congruent,correct,867.8230829973472
F103,1613429897.240903,1,6,blue,blue,congruent,correct,850.3188590002537
F103,1613429900.007778,1,7,yellow,yellow,congruent,correct,751.1048470005335
F103,1613429902.840926,1,8,blue,blue,congruent,correct,817.7544380014297
F103,1613429905.65653,1,9,blue,blue,congruent,correct,800.3144559988868
F103,1613429908.606703,1,10,yellow,yellow,congruent,correct,933.1561920007516
F103,1613429926.572335,2,0,yellow,yellow,congruent,correct,883.004469997104
F103,1613429929.3882592,2,1,blue,blue,congruent,correct,800.166982000519
F103,1613429932.3389509,2,2,red,red,congruent,correct,934.9247380014276
F103,1613429935.155216,2,3,yellow,yellow,congruent,correct,801.0251729974698
F103,1613429938.04635,2,4,yellow,yellow,congruent,correct,867.2382139993715
F103,1613429940.754786,2,5,blue,blue,congruent,correct,700.3626309997344
F103,1613429943.404454,2,6,blue,blue,congruent,correct,634.1901089981548
F103,1613429946.10422,2,7,yellow,yellow,congruent,correct,684.1355309989012
F103,1613429948.7545788,2,8,yellow,yellow,congruent,correct,633.7072739988798
F103,1613429951.420671,2,9,yellow,yellow,congruent,correct,650.9239599981811
F103,1613429954.3877718,2,10,blue,blue,congruent,correct,951.1518819999765
F103,1613429972.568955,3,0,red,yellow,incongruent,correct,1090.8923979986866
F103,1613429975.535576,3,1,blue,blue,congruent,correct,951.8840739983716
F103,1613429978.301892,3,2,blue,blue,congruent,correct,750.4514110005402
F103,1613429981.252219,3,3,red,red,congruent,correct,934.4322739998461
F103,1613429984.101781,3,4,red,red,congruent,correct,833.7596340024902
F103,1613429986.8188229,3,5,blue,blue,congruent,correct,701.4864019984088
F103,1613429989.618643,3,6,blue,yellow,incongruent,correct,784.3602290013223
F103,1613429992.601542,3,7,red,yellow,incongruent,correct,967.4326159984048
F103,1613429995.367869,3,8,red,red,congruent,correct,750.5766639987996
F103,1613429998.1175392,3,9,blue,blue,congruent,correct,734.5603069989011
F103,1613430000.700945,3,10,blue,blue,congruent,correct,567.6060559999314
F103,1613430018.9341729,4,0,red,yellow,incongruent,correct,1162.6229379980941
F103,1613430021.8823628,4,1,blue,red,incongruent,correct,933.4805870021228
F103,1613430024.84892,4,2,yellow,blue,incongruent,correct,950.7187609997345
F103,1613430027.774549,4,3,blue,blue,congruent,correct,900.7453960002749
F103,1613430030.548773,4,4,yellow,red,incongruent,correct,767.272144999879
F103,1613430033.24816,4,5,blue,yellow,incongruent,correct,683.4660759996041
F103,1613430036.0143108,4,6,red,yellow,incongruent,correct,750.2853469995898
F103,1613430038.71601,4,7,red,blue,incongruent,correct,685.145701001602
F103,1613430041.4656372,4,8,red,red,congruent,correct,734.768514001189
F103,1613430044.5146081,4,9,yellow,red,incongruent,correct,1034.7192859990173
F103,1613430047.414041,4,10,yellow,yellow,congruent,correct,884.0802019985858
F103,1613430065.3467112,5,0,blue,red,incongruent,correct,853.1825019999815
F103,1613430068.262671,5,1,yellow,blue,incongruent,correct,900.7009950000793
F103,1613430071.012237,5,2,blue,yellow,incongruent,correct,733.4811399996397
F103,1613430073.7453032,5,3,red,blue,incongruent,correct,716.7376580000564
F103,1613430076.511795,5,4,red,yellow,incongruent,correct,750.2346410001337
F103,1613430079.1116102,5,5,red,yellow,incongruent,correct,584.0304829980596
F103,1613430081.84557,5,6,blue,red,incongruent,correct,718.3091490005609
F103,1613430084.509851,5,7,blue,yellow,incongruent,correct,649.0009190019919
F103,1613430087.044449,5,8,blue,yellow,incongruent,correct,516.7621509972378
F103,1613430089.944438,5,9,red,red,congruent,correct,883.5015510012454
F103,1613430092.6776772,5,10,blue,blue,congruent,correct,717.0771380006045
