id,timestamp,boot_time,time_since_boot_time,trigger,trigger_string
4567,1613078290.0026822,1613004444.600432,73845.40225028992,22,Slider_Question_Presented
4567,1613078290.8783395,1613004444.600432,73846.27790760994,36,Slider_Question_Answered
4567,1613078290.8783395,1613004444.600432,73846.27790760994,22,Slider_Question_Presented
4567,1613078291.5415988,1613004444.600432,73846.94116687775,36,Slider_Question_Answered
4567,1613078291.547611,1613004444.600432,73846.94717907906,1,Instructions_Displayed
4567,1613078292.2618525,1613004444.600432,73847.66142058372,32,Page_Turn_Instructions
4567,1613078292.8452928,1613004444.600432,73848.24486088753,32,Page_Turn_Instructions
4567,1613078293.1328185,1613004444.600432,73848.53238654137,32,Page_Turn_Instructions
4567,1613078293.3089583,1613004444.600432,73848.70852637291,32,Page_Turn_Instructions
4567,1613078293.485455,1613004444.600432,73848.88502311707,32,Page_Turn_Instructions
4567,1613078296.4854276,1613004444.600432,73851.88499569893,27,Affect_Induction_Start
