id,timestamp,boot_time,time_since_boot_time,trigger,trigger_string
F102-2,1613082672.590765,1613055616.0,27056.590766191483,37,Experimenter_Screen_Displayed
F102-2,1613082673.77876,1613055616.0,27057.77875995636,38,Experimenter_Screen_Ended
F102-2,1613082673.77897,1613055616.0,27057.778970956802,22,Slider_Question_Presented
F102-2,1613082689.323552,1613055616.0,27073.323551893234,36,Slider_Question_Answered
F102-2,1613082689.323871,1613055616.0,27073.323870897293,22,Slider_Question_Presented
F102-2,1613082697.299542,1613055616.0,27081.299541950226,36,Slider_Question_Answered
F102-2,1613082697.303602,1613055616.0,27081.303602933884,1,Instructions_Displayed
F102-2,1613082701.2481248,1613055616.0,27085.248124837875,32,Page_Turn_Instructions
F102-2,1613082706.814173,1613055616.0,27090.81417298317,32,Page_Turn_Instructions
F102-2,1613082710.615881,1613055616.0,27094.615880966187,32,Page_Turn_Instructions
F102-2,1613082715.247275,1613055616.0,27099.247276067734,32,Page_Turn_Instructions
F102-2,1613082727.992438,1613055616.0,27111.9924390316,33,Scanner_Start_Received
F102-2,1613082727.9926631,1613055616.0,27111.992663145065,22,Slider_Question_Presented
F102-2,1613082734.161098,1613055616.0,27118.16109895706,36,Slider_Question_Answered
F102-2,1613082743.026746,1613055616.0,27127.026746034622,34,Reading_Section_Began
F102-2,1613082748.437414,1613055616.0,27132.437414884567,26,Page_Turn
F102-2,1613082764.0067468,1613055616.0,27148.00674676895,26,Page_Turn
F102-2,1613082777.4373262,1613055616.0,27161.43732714653,26,Page_Turn
F102-2,1613082784.325422,1613055616.0,27168.325423002243,26,Page_Turn
F102-2,1613082788.233587,1613055616.0,27172.23358798027,26,Page_Turn
F102-2,1613082791.321672,1613055616.0,27175.321671962738,26,Page_Turn
F102-2,1613082795.292385,1613055616.0,27179.29238510132,26,Page_Turn
F102-2,1613082799.544461,1613055616.0,27183.54446196556,26,Page_Turn
F102-2,1613082803.1565409,1613055616.0,27187.15654206276,26,Page_Turn
F102-2,1613082812.644466,1613055616.0,27196.64446592331,26,Page_Turn
F102-2,1613082829.8818529,1613055616.0,27213.881854057312,26,Page_Turn
F102-2,1613082838.673527,1613055616.0,27222.67352795601,26,Page_Turn
F102-2,1613082843.891861,1613055616.0,27227.89186191559,26,Page_Turn
F102-2,1613082850.105658,1613055616.0,27234.105658769608,26,Page_Turn
F102-2,1613082861.085789,1613055616.0,27245.0857899189,26,Page_Turn
F102-2,1613082866.3098009,1613055616.0,27250.309800863266,26,Page_Turn
F102-2,1613082870.43974,1613055616.0,27254.43973994255,26,Page_Turn
F102-2,1613082878.431848,1613055616.0,27262.431848049164,26,Page_Turn
F102-2,1613082884.452012,1613055616.0,27268.45203781128,26,Page_Turn
F102-2,1613082888.161692,1613055616.0,27272.161691904068,26,Page_Turn
F102-2,1613082890.0272388,1613055616.0,27274.027240037918,26,Page_Turn
F102-2,1613082890.027575,1613055616.0,27274.027575969696,35,Reading_Section_Ended
F102-2,1613082892.039029,1613055616.0,27276.03902888298,22,Slider_Question_Presented
F102-2,1613082900.5954292,1613055616.0,27284.59542989731,36,Slider_Question_Answered
F102-2,1613082900.634065,1613055616.0,27284.634064912796,29,Mult_Choice_Question_Presented
F102-2,1613082922.6371672,1613055616.0,27306.637167215347,36,Slider_Question_Answered
F102-2,1613082922.6718469,1613055616.0,27306.671847820282,29,Mult_Choice_Question_Presented
F102-2,1613082944.680696,1613055616.0,27328.680697202682,36,Slider_Question_Answered
F102-2,1613082944.7039611,1613055616.0,27328.703961133957,29,Mult_Choice_Question_Presented
F102-2,1613082959.564627,1613055616.0,27343.564626932144,36,Slider_Question_Answered
F102-2,1613082963.027286,1613055616.0,27347.027287006378,22,Slider_Question_Presented
F102-2,1613082969.9737148,1613055616.0,27353.97371482849,36,Slider_Question_Answered
F102-2,1613082978.059316,1613055616.0,27362.059315919876,27,Affect_Induction_Start
F102-2,1613083128.071497,1613055616.0,27512.0714969635,28,Affect_Induction_End
F102-2,1613083130.088866,1613055616.0,27514.0888671875,22,Slider_Question_Presented
F102-2,1613083135.770402,1613055616.0,27519.77040195465,36,Slider_Question_Answered
F102-2,1613083145.118094,1613055616.0,27529.11809515953,34,Reading_Section_Began
F102-2,1613083152.010751,1613055616.0,27536.010751008987,26,Page_Turn
F102-2,1613083156.246055,1613055616.0,27540.246055841446,26,Page_Turn
F102-2,1613083164.4340491,1613055616.0,27548.434049129486,26,Page_Turn
F102-2,1613083170.021987,1613055616.0,27554.021988153458,26,Page_Turn
F102-2,1613083173.643921,1613055616.0,27557.64392185211,26,Page_Turn
F102-2,1613083180.5838459,1613055616.0,27564.583845853806,26,Page_Turn
F102-2,1613083190.7749639,1613055616.0,27574.774963855743,26,Page_Turn
F102-2,1613083200.094075,1613055616.0,27584.094074964523,26,Page_Turn
F102-2,1613083204.7490501,1613055616.0,27588.74905014038,26,Page_Turn
F102-2,1613083215.475253,1613055616.0,27599.475254058838,26,Page_Turn
F102-2,1613083224.1771462,1613055616.0,27608.177146196365,26,Page_Turn
F102-2,1613083232.519996,1613055616.0,27616.519996881485,26,Page_Turn
F102-2,1613083240.8442812,1613055616.0,27624.844281196594,26,Page_Turn
F102-2,1613083246.585131,1613055616.0,27630.58513212204,26,Page_Turn
F102-2,1613083250.224148,1613055616.0,27634.22414803505,26,Page_Turn
F102-2,1613083255.266263,1613055616.0,27639.266263961792,26,Page_Turn
F102-2,1613083263.6432178,1613055616.0,27647.64321899414,26,Page_Turn
F102-2,1613083263.643596,1613055616.0,27647.643597126007,35,Reading_Section_Ended
