subject_id,timestamp,block_num,trial_num,display_text,display_color,trial_type,response_accuracy,response_time
f110,1614290245.126349,0,0,blue,blue,congruent,correct,833.6596119988826
f110,1614290247.860044,0,1,red,red,congruent,correct,717.7451389979979
f110,1614290250.924902,0,2,blue,red,incongruent,correct,1050.0181149982382
f110,1614290253.69035,0,3,blue,yellow,incongruent,correct,750.3271429995948
f110,1614290256.575278,0,4,blue,blue,congruent,correct,867.3292959974788
f110,1614290259.5088582,0,5,blue,yellow,incongruent,correct,917.6563229993917
f110,1614290262.441391,0,6,yellow,blue,incongruent,correct,916.7260139984137
f110,1614290265.3252852,0,7,red,yellow,incongruent,correct,867.4038409990317
f110,1614290268.07426,0,8,red,yellow,incongruent,correct,733.6964320020343
f110,1614290270.926464,0,9,red,blue,incongruent,correct,835.2119110022613
f110,1614290273.5246751,0,10,red,yellow,incongruent,correct,583.5512429985101
f110,1614290291.624552,1,0,red,red,congruent,correct,1018.0617660007556
f110,1614290294.438818,1,1,red,red,congruent,correct,799.6364290011115
f110,1614290297.539784,1,2,yellow,yellow,congruent,correct,1085.2776760002598
f110,1614290300.6222332,1,3,yellow,yellow,congruent,correct,1066.7059210027219
f110,1614290303.472378,1,4,yellow,yellow,congruent,correct,833.8375040002575
f110,1614290306.2720408,1,5,red,red,congruent,correct,784.0420960019401
f110,1614290309.37938,1,6,blue,blue,congruent,correct,1084.4974999999977
f110,1614290312.105011,1,7,red,red,congruent,correct,717.55211600248
f110,1614290314.838212,1,8,blue,blue,congruent,correct,717.4995179993857
f110,1614290317.571785,1,9,blue,blue,congruent,correct,717.0374060005997
f110,1614290320.43857,1,10,blue,blue,congruent,correct,851.085937996686
f110,1614290338.386962,2,0,red,red,congruent,correct,878.4470659993531
f110,1614290341.036841,2,1,yellow,yellow,congruent,correct,634.2595940004685
f110,1614290343.819503,2,2,blue,blue,congruent,correct,766.9222629992873
f110,1614290346.5360472,2,3,blue,blue,congruent,correct,700.6038310028089
f110,1614290349.269258,2,4,red,red,congruent,correct,717.5549050007248
f110,1614290352.0021892,2,5,blue,blue,congruent,correct,717.2374510009831
f110,1614290354.752758,2,6,red,red,congruent,correct,734.8118029985926
f110,1614290357.4031281,2,7,red,red,congruent,correct,634.5052240030782
f110,1614290360.035051,2,8,blue,blue,congruent,correct,618.1744800014712
f110,1614290362.834561,2,9,blue,blue,congruent,correct,783.7903750005353
f110,1614290365.4513412,2,10,blue,blue,congruent,correct,600.3318059993035
f110,1614290367.517465,2,11,blue,blue,congruent,Block Timeout,-1
f110,1614290385.6996381,3,0,yellow,red,incongruent,correct,1098.11808700033
f110,1614290388.449566,3,1,blue,yellow,incongruent,correct,733.7962570018135
f110,1614290391.200452,3,2,red,red,congruent,correct,734.99548500331
f110,1614290394.116512,3,3,blue,red,incongruent,correct,900.9868249995634
f110,1614290396.7162318,3,4,blue,blue,congruent,correct,583.9785339994705
f110,1614290399.665714,3,5,red,yellow,incongruent,correct,934.0438510007516
f110,1614290402.5322611,3,6,blue,yellow,incongruent,correct,851.6066369993496
f110,1614290405.415475,3,7,red,yellow,incongruent,correct,867.4006410001311
f110,1614290408.0009458,3,8,yellow,yellow,congruent,correct,569.8766380010056
f110,1614290410.965367,3,9,red,blue,incongruent,correct,950.6270650017541
f110,1614290413.665524,3,10,yellow,blue,incongruent,correct,684.8502360007842
f110,1614290431.7966442,4,0,blue,blue,congruent,correct,1045.8284060005099
f110,1614290434.4968,4,1,red,red,congruent,correct,684.2228670029726
f110,1614290436.930532,4,2,yellow,yellow,congruent,correct,418.87225000027684
f110,1614290439.530414,4,3,blue,blue,congruent,correct,584.518689000106
f110,1614290442.063382,4,4,red,red,congruent,correct,518.2533330007573
f110,1614290444.81289,4,5,blue,blue,congruent,correct,734.8330849999911
f110,1614290447.478768,4,6,red,red,congruent,correct,650.3721680019225
f110,1614290450.0459971,4,7,blue,blue,congruent,correct,550.6740189994161
f110,1614290452.6620831,4,8,red,red,congruent,correct,600.750789999438
f110,1614290455.3127759,4,9,blue,blue,congruent,correct,634.8608180014708
f110,1614290457.945437,4,10,yellow,yellow,congruent,correct,617.7445100001933
f110,1614290460.462023,4,11,yellow,yellow,congruent,correct,500.93036699763616
f110,1614290478.64347,5,0,red,blue,incongruent,correct,1099.3108530019526
f110,1614290481.326993,5,1,red,yellow,incongruent,correct,667.7702119995956
f110,1614290484.093271,5,2,yellow,red,incongruent,correct,750.7159460001276
f110,1614290487.127742,5,3,blue,blue,congruent,correct,1019.545349998225
f110,1614290489.859914,5,4,blue,blue,congruent,correct,717.4632169990218
f110,1614290492.609306,5,5,yellow,red,incongruent,correct,734.0478910009551
f110,1614290495.5092192,5,6,blue,blue,congruent,correct,884.0188850008417
f110,1614290498.442281,5,7,red,yellow,incongruent,correct,917.965403998096
f110,1614290501.308841,5,8,yellow,blue,incongruent,correct,850.7687239980442
f110,1614290504.3418398,5,9,yellow,red,incongruent,correct,1017.4587520014029
f110,1614290507.1082602,5,10,yellow,red,incongruent,correct,751.5732570027467
