id,timestamp,boot_time,time_since_boot_time,trigger,trigger_string
f110,1614289987.252925,1614273408.0,16579.252925872803,37,Experimenter_Screen_Displayed
f110,1614289990.177612,1614273408.0,16582.177613019943,38,Experimenter_Screen_Ended
f110,1614289990.181957,1614273408.0,16582.18195796013,1,Instructions_Displayed
f110,1614290022.602305,1614273408.0,16614.60230612755,32,Page_Turn_Instructions
f110,1614290028.590346,1614273408.0,16620.590346097946,32,Page_Turn_Instructions
f110,1614290032.087337,1614273408.0,16624.08733701706,32,Page_Turn_Instructions
f110,1614290037.801422,1614273408.0,16629.801423072815,32,Page_Turn_Instructions
f110,1614290055.760972,1614273408.0,16647.760972976685,33,Scanner_Start_Received
f110,1614290055.8714502,1614273408.0,16647.87145090103,5,Finger_Tapping_right_80
f110,1614290070.893825,1614273408.0,16662.89382505417,10,Task_End
f110,1614290081.20994,1614273408.0,16673.20994091034,5,Finger_Tapping_right_80
f110,1614290096.228417,1614273408.0,16688.2284181118,10,Task_End
f110,1614290106.540498,1614273408.0,16698.54049897194,5,Finger_Tapping_right_80
f110,1614290121.562817,1614273408.0,16713.562818050385,10,Task_End
f110,1614290131.8871539,1614273408.0,16723.887153863907,5,Finger_Tapping_right_80
f110,1614290146.914283,1614273408.0,16738.914283037186,10,Task_End
f110,1614290157.2385721,1614273408.0,16749.23857307434,5,Finger_Tapping_right_80
f110,1614290172.2489018,1614273408.0,16764.248901844025,10,Task_End
f110,1614290182.569663,1614273408.0,16774.569664001465,5,Finger_Tapping_right_80
f110,1614290197.5943758,1614273408.0,16789.59437584877,10,Task_End
f110,1614290207.805212,1614273408.0,16799.80521297455,37,Experimenter_Screen_Displayed
f110,1614290214.8572228,1614273408.0,16806.85722398758,38,Experimenter_Screen_Ended
f110,1614290214.8606908,1614273408.0,16806.86069202423,1,Instructions_Displayed
f110,1614290216.8788638,1614273408.0,16808.878865003586,32,Page_Turn_Instructions
f110,1614290220.869117,1614273408.0,16812.86911702156,32,Page_Turn_Instructions
f110,1614290224.8648791,1614273408.0,16816.864879131317,32,Page_Turn_Instructions
f110,1614290227.414999,1614273408.0,16819.414999961853,32,Page_Turn_Instructions
f110,1614290244.232619,1614273408.0,16836.232619047165,33,Scanner_Start_Received
f110,1614290244.2328472,1614273408.0,16836.232847213745,16,Stroop_Block_Start
f110,1614290244.292479,1614273408.0,16836.292479991913,18,Stroop_Stim_Displayed_Congruent
f110,1614290245.126143,1614273408.0,16837.126143932343,20,Stroop_Stim_Response_Correct
f110,1614290247.142091,1614273408.0,16839.142091989517,18,Stroop_Stim_Displayed_Congruent
f110,1614290247.859839,1614273408.0,16839.85983991623,20,Stroop_Stim_Response_Correct
f110,1614290249.874592,1614273408.0,16841.874593019485,19,Stroop_Stim_Displayed_Incongruent
