id,timestamp,event_type,time_left,block_num
F105,1613591704.18684,affect,6.6421702800003,0
F105,1613591806.2031832,reading-causalclaims,56.63621459700062,0
F105,1613591814.216682,mind_wandering,4.004481357000259,0
F105,1613591834.724517,mult-choice,1.530983149000349,0
F105,1613591847.429522,mult-choice,9.318248388000029,0
F105,1613591863.203778,mult-choice,6.250060256000324,0
F105,1613591930.188994,affect,5.691985207000471,1
F105,1613592098.5283892,affect,4.413352777,1
F105,1613592201.796708,reading-hypotheses,53.15996088300017,1
F105,1613592207.568063,mind_wandering,6.259337704000245,1
F105,1613592224.2216058,mult-choice,5.3789120139999795,1
F105,1613592236.459332,mult-choice,9.788499137999679,1
F105,1613592241.3458781,mult-choice,17.136365012999704,1
