id,timestamp,event_type,time_left,block_num
F106,1613613318.987575,affect,5.508301374997245,0
F106,1613613476.513547,reading-validity,-0.005467712999234209,0
F106,1613613485.200667,mind_wandering,3.3356892629999493,0
F106,1613613500.3882098,mult-choice,6.849635766000574,0
F106,1613613512.548246,mult-choice,9.8672194819992,0
F106,1613613534.580962,mult-choice,-0.00047957100105122663,0
F106,1613613544.440183,affect,5.4968459739975515,1
F106,1613613713.9281542,affect,3.0681222839994007,1
F106,1613613833.8430421,reading-variables,35.17121469899939,1
F106,1613613842.5705311,mind_wandering,3.2923797229996126,1
F106,1613613861.04944,mult-choice,3.5555554930033395,1
F106,1613613883.074481,mult-choice,-0.0005315230009728111,1
F106,1613613900.062741,mult-choice,5.034008467999229,1
