subject_id,timestamp,block_num,hand_condition,bpm,event
f110,1614290055.871666,0,right,80,start
f110,1614290056.538038,0,right,80,tap_prompted
f110,1614290056.638426,0,right,80,tap_missed
f110,1614290057.282418,0,right,80,tap_prompted
f110,1614290057.3827221,0,right,80,tap_missed
f110,1614290058.0335622,0,right,80,tap_prompted
f110,1614290058.089049,0,right,80,tap_registered
f110,1614290058.7840881,0,right,80,tap_prompted
f110,1614290058.884351,0,right,80,tap_missed
f110,1614290059.5357702,0,right,80,tap_prompted
f110,1614290059.636008,0,right,80,tap_missed
f110,1614290060.286293,0,right,80,tap_prompted
f110,1614290060.386548,0,right,80,tap_missed
f110,1614290061.036212,0,right,80,tap_prompted
f110,1614290061.13646,0,right,80,tap_missed
f110,1614290061.78622,0,right,80,tap_prompted
f110,1614290061.8864949,0,right,80,tap_missed
f110,1614290062.536669,0,right,80,tap_prompted
f110,1614290062.6369338,0,right,80,tap_missed
f110,1614290063.286371,0,right,80,tap_prompted
f110,1614290063.3866189,0,right,80,tap_missed
f110,1614290064.0365481,0,right,80,tap_prompted
f110,1614290064.136885,0,right,80,tap_missed
f110,1614290064.7863271,0,right,80,tap_prompted
f110,1614290064.886606,0,right,80,tap_missed
f110,1614290065.536428,0,right,80,tap_prompted
f110,1614290065.636724,0,right,80,tap_missed
f110,1614290066.286201,0,right,80,tap_prompted
f110,1614290066.386441,0,right,80,tap_missed
f110,1614290067.0368462,0,right,80,tap_prompted
f110,1614290067.137067,0,right,80,tap_missed
f110,1614290067.786151,0,right,80,tap_prompted
f110,1614290067.88641,0,right,80,tap_missed
f110,1614290068.536234,0,right,80,tap_prompted
f110,1614290068.636519,0,right,80,tap_missed
f110,1614290069.28564,0,right,80,tap_prompted
f110,1614290069.3934479,0,right,80,tap_missed
f110,1614290070.036371,0,right,80,tap_prompted
f110,1614290070.136668,0,right,80,tap_missed
f110,1614290070.785426,0,right,80,tap_prompted
f110,1614290070.885757,0,right,80,tap_missed
f110,1614290070.894041,0,right,80,end
f110,1614290081.210156,1,right,80,start
f110,1614290081.868842,1,right,80,tap_prompted
f110,1614290081.969171,1,right,80,tap_missed
f110,1614290082.6180968,1,right,80,tap_prompted
f110,1614290082.686322,1,right,80,tap_registered
f110,1614290083.3676748,1,right,80,tap_prompted
f110,1614290083.46795,1,right,80,tap_missed
f110,1614290084.118073,1,right,80,tap_prompted
f110,1614290084.137404,1,right,80,tap_registered
f110,1614290084.868386,1,right,80,tap_prompted
f110,1614290084.96863,1,right,80,tap_missed
f110,1614290085.618119,1,right,80,tap_prompted
f110,1614290085.718339,1,right,80,tap_missed
f110,1614290086.3684669,1,right,80,tap_prompted
f110,1614290086.468708,1,right,80,tap_missed
f110,1614290087.11855,1,right,80,tap_prompted
f110,1614290087.21877,1,right,80,tap_missed
f110,1614290087.868084,1,right,80,tap_prompted
f110,1614290087.9683578,1,right,80,tap_missed
f110,1614290088.6182451,1,right,80,tap_prompted
f110,1614290088.718452,1,right,80,tap_missed
f110,1614290089.3717198,1,right,80,tap_prompted
f110,1614290089.472009,1,right,80,tap_missed
f110,1614290090.118073,1,right,80,tap_prompted
