id,timestamp,event_type,time_left,block_num
F101-2,1613068441.533521,affect,1.1567607729994052,0
F101-2,1613068558.744423,reading-hypotheses,35.95283876299982,0
F101-2,1613068568.103671,mind_wandering,2.660824238000714,0
F101-2,1613068582.1709461,mult-choice,7.969013765001364,0
F101-2,1613068587.9898298,mult-choice,16.21040731100038,0
F101-2,1613068601.333899,mult-choice,8.684863391999897,0
F101-2,1613068649.604167,affect,2.370907750999322,1
F101-2,1613068815.668685,affect,3.343452195000282,1
F101-2,1613068888.397453,reading-causalclaims,82.6239884810002,1
F101-2,1613068892.6927621,mind_wandering,7.73071630800041,1
F101-2,1613068906.437956,mult-choice,8.291737552000995,1
F101-2,1613068914.5767832,mult-choice,13.888317820999873,1
F101-2,1613068924.454889,mult-choice,12.147012770999936,1
