id,timestamp,boot_time,time_since_boot_time,trigger,trigger_string
F106,1613612571.7087228,1613587584.0,24987.70872282982,37,Experimenter_Screen_Displayed
F106,1613612598.459318,1613587584.0,25014.459319114685,38,Experimenter_Screen_Ended
F106,1613612598.463608,1613587584.0,25014.46360898018,1,Instructions_Displayed
F106,1613612602.097142,1613587584.0,25018.097141981125,32,Page_Turn_Instructions
F106,1613612621.114319,1613587584.0,25037.114319086075,32,Page_Turn_Instructions
F106,1613612626.551114,1613587584.0,25042.551114082336,32,Page_Turn_Instructions
F106,1613612633.438259,1613587584.0,25049.43826007843,32,Page_Turn_Instructions
F106,1613612651.1188118,1613587584.0,25067.11881184578,33,Scanner_Start_Received
F106,1613612651.233523,1613587584.0,25067.233522892,5,Finger_Tapping_right_80
F106,1613612666.262174,1613587584.0,25082.262173891068,10,Task_End
F106,1613612676.602051,1613587584.0,25092.60205101967,5,Finger_Tapping_right_80
F106,1613612691.6229591,1613587584.0,25107.622959136963,10,Task_End
F106,1613612701.933992,1613587584.0,25117.934006929398,5,Finger_Tapping_right_80
F106,1613612716.958216,1613587584.0,25132.95821595192,10,Task_End
F106,1613612727.282766,1613587584.0,25143.28276705742,5,Finger_Tapping_right_80
F106,1613612742.306506,1613587584.0,25158.306505918503,10,Task_End
F106,1613612752.618676,1613587584.0,25168.61867594719,5,Finger_Tapping_right_80
F106,1613612767.638344,1613587584.0,25183.638345003128,10,Task_End
F106,1613612777.954018,1613587584.0,25193.95401906967,5,Finger_Tapping_right_80
F106,1613612792.9812732,1613587584.0,25208.981273174286,10,Task_End
F106,1613612803.196151,1613587584.0,25219.196151018143,37,Experimenter_Screen_Displayed
F106,1613612819.4150841,1613587584.0,25235.41508412361,38,Experimenter_Screen_Ended
F106,1613612819.418564,1613587584.0,25235.418564081192,1,Instructions_Displayed
F106,1613612822.692724,1613587584.0,25238.69272494316,32,Page_Turn_Instructions
F106,1613612827.6918988,1613587584.0,25243.691898822784,32,Page_Turn_Instructions
F106,1613612831.992843,1613587584.0,25247.992844104767,32,Page_Turn_Instructions
F106,1613612836.806914,1613587584.0,25252.806915044785,32,Page_Turn_Instructions
F106,1613612851.386477,1613587584.0,25267.386478185654,33,Scanner_Start_Received
F106,1613612851.38677,1613587584.0,25267.38677096367,16,Stroop_Block_Start
F106,1613612851.447165,1613587584.0,25267.447165966034,18,Stroop_Stim_Displayed_Congruent
F106,1613612852.617177,1613587584.0,25268.617178201675,20,Stroop_Stim_Response_Correct
F106,1613612854.633544,1613587584.0,25270.6335439682,19,Stroop_Stim_Displayed_Incongruent
F106,1613612855.417671,1613587584.0,25271.41767191887,20,Stroop_Stim_Response_Correct
F106,1613612857.4335942,1613587584.0,25273.433594942093,18,Stroop_Stim_Displayed_Congruent
F106,1613612858.301694,1613587584.0,25274.30169391632,20,Stroop_Stim_Response_Correct
F106,1613612860.316287,1613587584.0,25276.316287994385,18,Stroop_Stim_Displayed_Congruent
F106,1613612861.2331378,1613587584.0,25277.233137845993,20,Stroop_Stim_Response_Correct
